citta,istanza,n_tappe,slack_cambi,cambi_max,dominio_medio,greedy_risolve,completo_risolve,greedy_fallisce_a_torto,nodi_greedy,nodi_completo,secondi_completo
roma,roma-000-t2,2,0,5,5.5,1,1,0,11,15,2.5599991204217076e-05
roma,roma-000-t2,2,1,6,5.5,1,1,0,11,15,1.3899989426136017e-05
roma,roma-000-t2,2,2,7,5.5,1,1,0,11,17,1.37000170070678e-05
roma,roma-000-t2,2,3,8,5.5,1,1,0,11,17,1.3100012438371778e-05
roma,roma-001-t2,2,0,2,17.0,0,0,0,34,64,1.999997766688466e-05
roma,roma-001-t2,2,1,3,17.0,0,0,0,34,124,3.0399998649954796e-05
roma,roma-001-t2,2,2,4,17.0,0,1,1,34,169,4.6299974201247096e-05
roma,roma-001-t2,2,3,5,17.0,1,1,0,34,199,6.399999256245792e-05
roma,roma-001-t3,3,0,5,14.33,0,0,0,43,64,2.3600005079060793e-05
roma,roma-001-t3,3,1,6,14.33,0,0,0,43,124,3.680001827888191e-05
roma,roma-001-t3,3,2,7,14.33,0,0,0,43,187,5.09000092279166e-05
roma,roma-001-t3,3,3,8,14.33,1,1,0,43,280,7.37000082153827e-05
roma,roma-001-t4,4,0,7,16.25,0,0,0,43,64,2.5599991204217076e-05
roma,roma-001-t4,4,1,8,16.25,0,0,0,65,124,3.960001049563289e-05
roma,roma-001-t4,4,2,9,16.25,0,0,0,65,187,5.3499999921768904e-05
roma,roma-001-t4,4,3,10,16.25,0,0,0,65,302,7.750000804662704e-05
roma,roma-002-t2,2,0,4,13.5,1,1,0,27,27,1.2999982573091984e-05
roma,roma-002-t2,2,1,5,13.5,1,1,0,27,27,1.4299992471933365e-05
roma,roma-002-t2,2,2,6,13.5,1,1,0,27,27,1.610000617802143e-05
roma,roma-002-t2,2,3,7,13.5,1,1,0,27,27,1.610000617802143e-05
roma,roma-002-t3,3,0,6,13.67,1,1,0,41,41,1.960000372491777e-05
roma,roma-002-t3,3,1,7,13.67,1,1,0,41,55,2.579999272711575e-05
roma,roma-002-t3,3,2,8,13.67,1,1,0,41,69,3.539997851476073e-05
roma,roma-002-t3,3,3,9,13.67,1,1,0,41,69,3.950000973418355e-05
roma,roma-002-t4,4,0,7,14.25,0,0,0,57,105,3.220001235604286e-05
roma,roma-002-t4,4,1,8,14.25,0,0,0,57,231,5.669999518431723e-05
roma,roma-002-t4,4,2,9,14.25,0,1,1,57,389,9.470002260059118e-05
roma,roma-002-t4,4,3,10,14.25,1,1,0,57,469,0.00013160001253709197
roma,roma-004-t2,2,0,5,10.0,1,1,0,20,20,1.09999964479357e-05
roma,roma-004-t2,2,1,6,10.0,1,1,0,20,27,1.550000160932541e-05
roma,roma-004-t2,2,2,7,10.0,1,1,0,20,34,1.990000600926578e-05
roma,roma-004-t2,2,3,8,10.0,1,1,0,20,34,2.069998299703002e-05
roma,roma-005-t2,2,0,5,10.5,0,0,0,21,15,8.300004992634058e-06
